yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore,,,,,,,,,
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,20 - 25,<10,<10,29,67,>90,<10,NULL,20 , 25,22.5,90,2025,28615,22.5,2025,90
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,20 - 25,<10,<10,29,67,>90,<10,2764,20 , 25,0,90,0,28615,0,0,0
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,20 - 25,<10,<10,13,83,>90,<10,NULL,20 , 25,0,90,0,28615,0,0,0
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,20 - 25,<10,<10,13,83,>90,<10,2722,20 , 25,0,90,0,28615,0,0,0
2015,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,30 - 35,<10,19,65,16,81,19,NULL,30 , 35,0,81,0,28615,0,0,0
2015,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,30 - 35,<10,19,65,16,81,19,NULL,30 , 35,0,81,0,28615,0,0,0
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,305 - 310,<10,<10,23,67,90,10,NULL,305 , 310,307.5,90,27675,28580,307.5,27675,90
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,110 - 115,<10,12,32,55,87,13,2622,110 , 115,0,87,0,28580,0,0,0
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,95 - 100,<10,<10,18,77,>90,<10,2671,95 , 100,0,90,0,28580,0,0,0
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,95 - 100,<10,11,17,69,86,14,2690,95 , 100,0,86,0,28580,0,0,0
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,290 - 295,<10,11,52,35,87,13,NULL,290 , 295,0,87,0,28580,0,0,0
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,95 - 100,<10,16,55,26,80,20,2584,95 , 100,0,80,0,28580,0,0,0
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,95 - 100,<10,<10,47,43,90,10,2632,95 , 100,0,90,0,28580,0,0,0
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,95 - 100,<10,10,53,37,90,10,2644,95 , 100,0,90,0,28580,0,0,0
2015,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,95 - 100,<10,42,55,<10,55,45,NULL,95 , 100,0,55,0,28580,0,0,0
2015,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,95 - 100,<10,42,55,<10,55,45,NULL,95 , 100,0,55,0,28580,0,0,0
2015,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,0,75 - 80,15,28,44,13,56,44,NULL,75 , 80,77.5,56,4340,0,0,0,0
2015,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,17,28,44,11,56,44,2439,35 , 40,0,56,0,0,0,0,0
2015,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,14,29,43,14,57,43,2490,40 , 45,0,57,0,0,0,0,0
2015,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,0,75 - 80,23,27,29,21,50,50,NULL,75 , 80,0,50,0,0,0,0,0
2015,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,14,36,31,19,50,50,2435,35 , 40,0,50,0,0,0,0,0
2015,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,31,19,29,21,50,50,2468,40 , 45,0,50,0,0,0,0,0
2015,sch,sci,Regular,Allenstown,9,Allenstown Elementary School,22580,0,40 - 45,17,24,57,<10,60,40,NULL,40 , 45,0,60,0,0,0,0,0
2015,sch,sci,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,17,24,57,<10,60,40,NULL,40 , 45,0,60,0,0,0,0,0
2015,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,0,155 - 160,37,38,17,<10,25,75,NULL,155 , 160,157.5,25,3937.5,0,0,0,0
2015,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,5,30 - 35,53,33,13,<10,13,87,2454,30 , 35,0,13,0,0,0,0,0
2015,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,6,30 - 35,38,38,18,<10,24,76,2495,30 , 35,0,24,0,0,0,0,0
2015,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,7,50 - 55,30,42,17,11,28,72,2534,50 , 55,0,28,0,0,0,0,0
2015,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,34,37,18,11,29,71,2539,35 , 40,0,29,0,0,0,0,0
2015,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,0,155 - 160,16,25,43,16,59,41,NULL,155 , 160,0,59,0,0,0,0,0
2015,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,5,30 - 35,30,17,40,13,53,47,2507,30 , 35,0,53,0,0,0,0,0
2015,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,6,30 - 35,18,35,38,<10,47,53,2518,30 , 35,0,47,0,0,0,0,0
2015,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,7,50 - 55,<10,28,43,19,62,38,2570,50 , 55,0,62,0,0,0,0,0
2015,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,13,16,50,21,71,29,2598,35 , 40,0,71,0,0,0,0,0
2015,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,0,35 - 40,18,58,24,<10,24,76,NULL,35 , 40,0,24,0,0,0,0,0
2015,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,18,58,24,<10,24,76,NULL,35 , 40,0,24,0,0,0,0,0
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,0,325 - 330,21,40,25,14,39,61,NULL,325 , 330,327.5,39,12772.5,22480,327.5,12772.5,39
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,3,50 - 55,30,34,26,10,36,64,2413,50 , 55,0,36,0,22480,0,0,0
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,4,45 - 50,<10,34,32,26,57,43,2497,45 , 50,0,57,0,22480,0,0,0
