yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,subgroup,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,MeanSGP,AvgScore,pDLMTestedEM,pNHSASTestedEM,pPACETestedEM,pSATTestedHS,pDLMTestedHS,pNHSASTestedHS,pFirstYrLEPTested,pParticipate
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,All students             ,0,335 - 340,<10,<10,25,65,89,11,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Am. Indian               ,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Asian+PI+Hawaiian        ,0,165 - 170,<10,<10,19,71,90,10,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Black                    ,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,EL - Curr + Monitor Yr1-4,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Female                   ,0,155 - 160,<10,10,24,63,88,12,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Hispanic                 ,0,15-Oct,<10,<10,27,55,82,18,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,IEP/SWD                  ,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Male                     ,0,180 - 185,<10,<10,25,66,>90,<10,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,SES                      ,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Two or More races        ,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,White                    ,0,150 - 155,<10,<10,31,61,>90,<10,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,All students             ,11,50 - 55,<10,<10,33,57,90,10,* n < 11,670,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Asian+PI+Hawaiian        ,11,15-Oct,<10,<10,33,58,>90,<10,* n < 11,693,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Black                    ,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Female                   ,11,15 - 20,<10,16,42,42,84,16,* n < 11,641,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Hispanic                 ,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Male                     ,11,30 - 35,<10,<10,28,66,>90,<10,* n < 11,688,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,SES                      ,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,White                    ,11,30 - 35,<10,<10,32,65,>90,<10,* n < 11,680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,All students             ,6,85 - 90,<10,12,26,61,87,13,47,565,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Am. Indian               ,6, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* N< 40 
2018,dis,mat,Regular,Academy for Science and Design Charter School,725,NULL,0,Asian+PI+Hawaiian        ,6,45 - 50,<10,13,15,72,87,13,52,574,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100
