yearid,Level of Data,Subject,District,School,Grade,Subgroup,Total FAY Students,level1%,level2%,level3%,level4%,Above prof% (lvl 3&4),Participate%,Mean SGP,Avg Score,% of total tested DLM - state,% of total tested EL First Yr,Report Date
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,All students             ,320 - 325,<10,11,29,59,88,96,52,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,Am. Indian               , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,Asian+PI+Hawaiian        ,135 - 140,<10,10,22,67,89,97,56,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,Black                    , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,EL - Curr + Monitor Yr1-4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,EL - Current             , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,Female                   ,140 - 145,<10,12,27,59,86,95,50,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,Hispanic                 , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,IEP/SWD                  , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,Male                     ,180 - 185,<10,<10,31,58,89,97,54,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,SES                      , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,Two or More races        , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,All grades,White                    ,165 - 170,<10,11,36,52,88,96,47,Not available,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,All students             ,85 - 90,<10,16,27,55,82,100,47,559,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,Asian+PI+Hawaiian        ,35 - 40,<10,11,14,72,86,* N< 40 ,57,572,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,EL - Curr + Monitor Yr1-4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,* n < 11,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,EL - Current             , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,* n < 11,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,Female                   ,30 - 35,<10,18,15,68,82,* N< 40 ,50,563,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,Hispanic                 , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,* n < 11,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,IEP/SWD                  , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,* n < 11,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,Male                     ,50 - 55,<10,15,35,46,81,100,46,556,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,SES                      , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,* n < 11,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,Two or More races        , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,* n < 11,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,6,White                    ,45 - 50,<10,19,36,43,79,100,36,550,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,7,All students             ,100 - 105,<10,14,27,57,84,98,43,596,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,7,Am. Indian               , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,* n < 11,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,7,Asian+PI+Hawaiian        ,50 - 55,<10,16,28,54,82,98,41,602,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,7,Female                   ,50 - 55,<10,11,28,58,87,96,41,600,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,7,Hispanic                 , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,* n < 11,Not available,Not available,10/2/2019
2019,District Level,mat,Academy for Science and Design Charter School,District Data,7,IEP/SWD                  , 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* N< 40 ,* n < 11,* n < 11,Not available,Not available,10/2/2019
