DenominatorType,yearid,Level of Data,Subject,District,School,Grade,Subgroup,Total FAY Students,level1%,level2%,level3%,level4%,Above prof% (lvl 3&4),Participate%,Mean SGP,Avg Score,Report Date,DateInserted
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,All students,40 - 45,< 10 %,14,33,52,86,93,* n < 11,648,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,All students,40 - 45,< 10 %,14,33,52,86,93,* n < 11,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Asian+PI+Hawaiian,10 - 15,< 10 %,< 10 %,38,54,> 90 %,100,* n < 11,658,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Asian+PI+Hawaiian,10 - 15,< 10 %,< 10 %,38,54,> 90 %,100,* n < 11,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Black, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Black, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Female,20 - 25,< 10 %,15,30,55,85,95,* n < 11,643,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Female,20 - 25,< 10 %,15,30,55,85,95,* n < 11,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Hispanic, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Hispanic, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Male,20 - 25,< 10 %,14,36,50,86,92,* n < 11,653,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Male,20 - 25,< 10 %,14,36,50,86,92,* n < 11,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Military, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Military, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,SES, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,SES, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,06,Hispanic, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,07,Hispanic, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,08,Hispanic, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,All grades,Hispanic,20 - 25,30,15,10,45,55,95,52,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,05,IEP/SWD,25 - 30,46,27,19,< 10 %,27,90,49,458,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,06,IEP/SWD,30 - 35,47,32,15,< 10 %,21,92,42,483,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,07,IEP/SWD,20 - 25,59,36,< 10 %,< 10 %,< 10 %,76,42,485,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,08,IEP/SWD,20 - 25,57,24,10,10,19,78,48,516,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,All grades,IEP/SWD,100 - 105,51,30,12,< 10 %,18,84,45,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,05,Male,60 - 65,15,17,28,40,68,97,47,507,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,06,Male,85 - 90,24,29,20,27,47,96,49,518,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,07,Male,70 - 75,22,30,23,26,49,86,50,552,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,08,Male,75 - 80,38,22,12,28,39,83,42,561,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,All grades,Male,295 - 300,25,25,20,29,50,90,47,Not available,10/4/2023 20:41,10/4/2023 20:41
Regular,2023,School Level,mat,Amherst,Amherst Middle School,05,Military, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,10/4/2023 20:41,10/4/2023 20:41
