DenominatorType,yearid,Level of Data,Subject,District,School,Grade,Subgroup,Total FAY Students,level1%,level2%,level3%,level4%,Above prof% (lvl 3&4),Participate%,Mean SGP,Avg Score,Report Date
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,All students,50 - 55,< 10 %,< 10 %,35,63,> 90 %,100,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,All students,50 - 55,< 10 %,< 10 %,35,63,> 90 %,100,* n < 11,658,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Asian+PI+Hawaiian,15 - 20,< 10 %,< 10 %,19,81,> 90 %,100,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Asian+PI+Hawaiian,15 - 20,< 10 %,< 10 %,19,81,> 90 %,100,* n < 11,701,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Black, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Black, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Female,20 - 25,< 10 %,< 10 %,42,54,> 90 %,100,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Female,20 - 25,< 10 %,< 10 %,42,54,> 90 %,100,* n < 11,647,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Hispanic, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Hispanic, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Male,30 - 35,< 10 %,< 10 %,30,70,> 90 %,100,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Male,30 - 35,< 10 %,< 10 %,30,70,> 90 %,100,* n < 11,668,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Not IEP/SWD,50 - 55,< 10 %,< 10 %,35,63,> 90 %,100,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Not IEP/SWD,50 - 55,< 10 %,< 10 %,35,63,> 90 %,100,* n < 11,658,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Not SES,50 - 55,< 10 %,< 10 %,32,66,> 90 %,100,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Not SES,50 - 55,< 10 %,< 10 %,32,66,> 90 %,100,* n < 11,662,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,SES, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,SES, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Two or More races, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Two or More races, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n< 11 ,* n < 11,* n < 11,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,White,25 - 30,< 10 %,< 10 %,38,59,> 90 %,100,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,mat,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,White,25 - 30,< 10 %,< 10 %,38,59,> 90 %,100,* n < 11,647,8/29/2024 12:15
Regular,2024,School Level,rea,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,All students,50 - 55,< 10 %,< 10 %,24,76,> 90 %,100,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,rea,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,All students,50 - 55,< 10 %,< 10 %,24,76,> 90 %,100,* n < 11,662,8/29/2024 12:15
Regular,2024,School Level,rea,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),All grades,Asian+PI+Hawaiian,15 - 20,< 10 %,< 10 %,13,88,> 90 %,100,* n < 11,Not available,8/29/2024 12:15
Regular,2024,School Level,rea,Academy for Science and Design Charter School,Academy for Science and Design Charter (H),11,Asian+PI+Hawaiian,15 - 20,< 10 %,< 10 %,13,88,> 90 %,100,* n < 11,674,8/29/2024 12:15
