,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"January 29, 2010",
,,,"                             Division of Program Support, Bureau of Data Management",,,,,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-2778   FAX 603-271-3875,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2008-2009",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $13,914.96. ",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$12,095.86 ","$11,160.93 ","$11,573.01 ","$11,745.55 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 15,088.56 ", -   , -   ," 15,088.56 ",
15 ,15 ,51 ,Alton                    ," 11,950.21 ", -   , -   ," 11,950.21 ",
17 ,17 ,39 ,Amherst                  ," 13,635.14 "," 13,434.04 ", -   ," 13,527.39 ",
19 ,19 ,46 ,Andover                  ," 12,522.14 ", -   , -   ," 12,522.14 ",
,,,,,,,,
23 ,23 ,2 ,Ashland                  ," 15,710.04 ", -   , -   ," 15,710.04 ",
29 ,29 ,15 ,Auburn                   ," 9,971.58 ", -   , -   ," 9,971.58 ",
31 ,31 ,51 ,Barnstead                ," 11,285.68 ", -   , -   ," 11,285.68 ",
33 ,33 ,74 ,Barrington               ," 10,624.90 "," 11,671.54 ", -   ," 11,095.34 ",
35 ,35 ,9 ,Bartlett                 ," 15,142.50 ", -   , -   ," 15,142.50 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 13,230.93 ", -   , -   ," 13,230.93 ",
41 ,41 ,25 ,Bedford                  ," 10,339.81 "," 10,237.79 "," 11,866.85 "," 10,677.14 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 11,229.70 "," 13,314.21 "," 11,877.39 "," 11,811.77 ",
53 ,53 ,35 ,Bethlehem                ," 13,936.79 ", -   , -   ," 13,936.79 ",
,,,,,,,,
57 ,57 ,67 ,Bow                      ," 12,311.86 "," 11,394.97 "," 14,367.24 "," 12,790.96 ",
63 ,63 ,16 ,Brentwood                ," 11,183.81 ", -   , -   ," 11,183.81 ",
71 ,71 ,41 ,Brookline                ," 11,432.27 ", -   , -   ," 11,432.27 ",
75 ,75 ,48 ,Campton                  ," 14,152.27 ", -   , -   ," 14,152.27 ",
79 ,79 ,15 ,Candia                   ," 10,639.88 ", -   , -   ," 10,639.88 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 9,615.24 ", -   , -   ," 9,615.24 ",
95 ,95 ,29 ,Chesterfield             ," 12,402.04 ", -   , -   ," 12,402.04 ",
99 ,99 ,53 ,Chichester               ," 13,637.11 ", -   , -   ," 13,637.11 ",
101 ,101 ,6 ,Claremont                ," 13,943.61 "," 12,873.25 "," 14,619.69 "," 13,925.10 ",
,,,,,,,,
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 10,698.58 ", -   ," 14,808.19 "," 12,022.79 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 12,649.96 "," 10,741.32 "," 10,439.59 "," 11,382.89 ",
112 ,0 ,1 ,Contoocook Valley," 13,962.04 "," 13,196.27 "," 11,895.43 "," 12,925.97 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 14,704.72 "," 13,959.05 "," 12,107.26 "," 13,405.30 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 15,932.82 ", -   , -   ," 15,932.82 ",
117 ,117 ,43 ,Croydon                  ," 13,615.03 ", -   , -   ," 13,615.03 ",
127 ,127 ,53 ,Deerfield                ," 14,647.39 ", -   , -   ," 14,647.39 ",
131 ,131 ,10 ,Derry  Cooperative," 11,564.76 "," 10,461.83 ", -   ," 11,122.95 ",
141 ,141 ,11 ,Dover                    ," 9,815.80 "," 8,777.91 "," 10,136.81 "," 9,664.09 ",
142 ,0 ,22 ,Dresden ," 15,625.92 ", -   ," 15,235.72 "," 15,383.97 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 10,850.06 ", -   , -   ," 10,850.06 ",
