,,,,,,,"March 12, 2009"
NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,,,,
"Division of Program Support, Bureau of Data Management",,,,,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,,,,,
Telephone (603) 271-2778  Fax (603) 271-3875,,,,,,,
,,,,,,,
STATE AVERAGE COST PER PUPIL AND TOTAL EXPENDITURES 2007-2008,,,,,,,
,,,,,,,
,Elementary,,Middle,,High,,Total
Part A - Expenditures,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$1,051,753,420 ",,"$395,620,852 ",,"$654,100,754 ",,"$2,101,475,026 "
Tuition (less interdistrict transfers),"18,460,955 ",,"10,216,646 ",,"97,150,685 ",,"125,828,286 "
Transportation,"49,673,632 ",,"18,445,998 ",,"34,288,543 ",,"102,408,173 "
Elem and Secondary Current Expenses 1,"$1,119,888,007 ",,"$424,283,496 ",,"$785,539,982 ",,"$2,329,711,485 "
,,,,,,,
Capital Items (other than facilities reported below),,,,,,,"28,882,865 "
Bonds & Notes Interest,,,,,,,"48,357,894 "
Total Recurring Elementary and Secondary Expenditures,,,,,,,"$2,406,952,244 "
Facility Construction & Acquisition,,,,,,,"134,172,855 "
Total Expenditures for Elementary and Secondary Education,,,,,,,"$2,541,125,099 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,"$1,811,428 ",,"$527,432 ",,"$959,843 ",,"$3,298,703 "
Non-public Programs,,,,,,," 347,873 "
Adult Education,,,,,,," 4,673,502 "
Community/Jr. College Ed. Program,,,,,,,"144,240 "
Community Service,,,,,,," 1,764,490 "
Allocation to Charter Schools/Other Agencies,,,,,,," 545,095 "
Total Expenditures for 2007-2008 2,,,,,,,"$2,551,899,002 "
,,,,,,,
Part B - Pupil Memberships,,,,,,,
Average daily membership in attendance 3," 91,403.74 ",," 37,183.91 ",," 60,137.69 ",," 188,725.34 "
,,,,,,,
Part C - Cost Per Pupil   ,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$11,506.68 ",,"$10,639.57 ",,"$10,876.72 ",,"$11,135.10 "
,,,,,,,
Tuition (less interdistrict transfers),201.97 ,,274.76 ,,"1,615.47 ",,666.73 
Transportation,543.45 ,,496.07 ,,570.17 ,,542.63 
Elem and Secondary Current Expenses,"$12,252.10 ",,"$11,410.40 ",,"$13,062.36 ",,"$12,344.46 "
,,,,,,,
Capital Items (other than facilities reported below) ,,,,,,,$153.04 
Bonds & Notes Interest,,,,,,,256.23 
Total Recurring Expenditures,,,,,,,"$12,753.73 "
Facility Construction & Acquisition,,,,,,,710.94 
Total Expenditures for Elementary and Secondary Education,,,,,,,"$13,464.67 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,$19.82 ,,$14.18 ,,$15.96 ,,$17.48 
Non-public Programs,,,,,,,1.84 
Adult Education,,,,,,,24.76 
Community/Jr. College Ed. Program,,,,,,,0.76 
Community Service,,,,,,,9.35 
Allocation to Charter Schools/Other Agencies,,,,,,,2.89 
Total Expenditures for 2007-2008,,,,,,,"$13,521.75 "
,,,,,,,
,,,,,,,
This State Average is based on district operated schools only.,,,,,,,
,,,,,,,
"1  Inter-district tuition payments have been deducted.  Inter-district transportation payments of $147,159 can not be",,,,,,,
    attributed to a grade level and have not been deducted.,,,,,,,
"2  Does not include Bond Principal repayment of: $102,118,643. Bond Principal repayments are not included because expenditures",,,,,,,
    financed by bonds and notes have already been reported as expenditures in the current or a previous year.,,,,,,,
3  High school average daily membership (ADM) does not include ADM of 117.75 for students attending vocational programs,,,,,,,
    out-of-state.  ,,,,,,,
,,,,,,,
,,,,,,,
