,,,,,"Januay 29, 2010",,
                                                   NEW HAMPSHIRE DEPARTMENT OF EDUCATION                       ,,,,,,,
"Division of Program Support, Bureau of Data Management",,,,,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,,,,,
Telephone (603) 271-2778  Fax (603) 271-3875,,,,,,,
,,,,,,,
STATE AVERAGE COST PER PUPIL AND TOTAL EXPENDITURES 2008-2009,,,,,,,
,,,,,,,
,Elementary,,Middle,,High,,Total
Part A - Expenditures,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$1,093,430,955 ",,"$410,351,583 ",,"$682,286,801 ",,"$2,186,069,339 "
Tuition (less interdistrict transfers),"21,046,935 ",,"10,791,677 ",,"96,912,309 ",,"128,750,921 "
Transportation,"50,208,099 ",,"19,305,932 ",,"36,206,984 ",,"105,721,015 "
Elem and Secondary Current Expenses 1,"$1,164,685,989 ",,"$440,449,192 ",,"$815,406,094 ",,"$2,420,541,275 "
,,,,,,,
Capital Items (other than facilities reported below),,,,,,,"31,033,240 "
Bonds & Notes Interest,,,,,,,"45,591,427 "
Total Recurring Elementary and Secondary Expenditures,,,,,,,"$2,497,165,942 "
Facility Construction & Acquisition,,,,,,,"80,835,378 "
Total Expenditures for Elementary and Secondary Education,,,,,,,"$2,578,001,320 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,"$1,944,291 ",,"$656,825 ",,"$1,143,169 ",,"$3,744,285 "
Non-public Programs,,,,,,," 733,654 "
Adult Education,,,,,,," 5,236,060 "
Community/Jr. College Ed. Program,,,,,,,0 
Community Service,,,,,,," 1,564,502 "
Allocation to Charter Schools/Other Agencies,,,,,,," 557,072 "
Total Expenditures for 2008-2009 2,,,,,,,"$2,589,836,893 "
,,,,,,,
Part B - Pupil Memberships,,,,,,,
Average daily membership in attendance 3," 90,397.14 ",," 36,766.80 ",," 58,955.00 ",," 186,118.94 "
,,,,,,,
Part C - Cost Per Pupil   ,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$12,095.86 ",,"$11,160.93 ",,"$11,573.01 ",,"$11,745.55 "
,,,,,,,
Tuition (less interdistrict transfers),232.83 ,,293.52 ,,"1,643.84 ",,691.77 
Transportation,555.42 ,,525.09 ,,614.15 ,,568.03 
Elem and Secondary Current Expenses,"$12,884.11 ",,"$11,979.54 ",,"$13,831.00 ",,"$13,005.35 "
,,,,,,,
Capital Items (other than facilities reported below) ,,,,,,,$166.74 
Bonds & Notes Interest,,,,,,,244.96 
Total Recurring Expenditures,,,,,,,"$13,417.05 "
Facility Construction & Acquisition,,,,,,,434.32 
Total Expenditures for Elementary and Secondary Education,,,,,,,"$13,851.37 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,$21.51 ,,$17.86 ,,$19.39 ,,$20.12 
Non-public Programs,,,,,,,3.94 
Adult Education,,,,,,,28.13 
Community/Jr. College Ed. Program,,,,,,,0.00 
Community Service,,,,,,,8.41 
Allocation to Charter Schools/Other Agencies,,,,,,,2.99 
Total Expenditures for 2008-2009,,,,,,,"$13,914.96 "
,,,,,,,
This State Average is based on district operated schools only.,,,,,,,
,,,,,,,
"1  Inter-district tuition payments have been deducted.  Inter-district transportation payments of $173,752 can not be",,,,,,,
    attributed to a grade level and have not been deducted.,,,,,,,
"2  Does not include Bond Principal repayment of: $103,170,648. Bond Principal repayments are not included because expenditures",,,,,,,
    financed by bonds and notes have already been reported as expenditures in the current or a previous year.,,,,,,,
3  High school average daily membership (ADM) does not include ADM of 114.94 for students attending vocational programs,,,,,,,
    out-of-state.  ,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
JDF:rml    10   (5.10)    ,,,,,,,
State Avg Cost 2008-2009.xls,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
