,,,,,"February 2, 2012",,
,,,,,,,ADMA as of 2-2-12
                                                   NEW HAMPSHIRE DEPARTMENT OF EDUCATION                       ,,,,,,,
"Division of Program Support, Bureau of Data Management",,,,,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,,,,,
Telephone (603) 271-2778  Fax (603) 271-3875,,,,,,,
,,,,,,,
STATE AVERAGE COST PER PUPIL AND TOTAL EXPENDITURES 2010-2011,,,,,,,
,,,,,,,
,Elementary,,Middle,,High,,Total
Part A - Expenditures,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$1,169,275,735 ",,"$432,881,582 ",,"$720,271,573 ",,"$2,322,428,890 "
Tuition (less interdistrict transfers),"20,517,910 ",,"10,215,427 ",,"104,731,980 ",,"135,465,317 "
Transportation,"53,136,747 ",,"20,300,329 ",,"38,428,703 ",,"111,865,779 "
Elem and Secondary Current Expenses 1,"$1,242,930,392 ",,"$463,397,338 ",,"$863,432,256 ",,"$2,569,759,986 "
,,,,,,,
Capital Items (other than facilities reported below),,,,,,,"31,343,537 "
Bonds & Notes Interest,,,,,,,"44,798,730 "
Total Recurring Elementary and Secondary Expenditures,,,,,,,"$2,645,902,253 "
Facility Construction & Acquisition,,,,,,,"173,756,309 "
Total Expenditures for Elementary and Secondary Education,,,,,,,"$2,819,658,562 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,"$2,154,993 ",,"$835,316 ",,"$1,332,845 ",,"$4,323,154 "
Non-public Programs,,,,,,," 437,666 "
Adult Education,,,,,,," 6,145,218 "
Community/Jr. College Ed. Program,,,,,,,"369,648 "
Community Service,,,,,,," 1,190,508 "
Allocation to Charter Schools/Other Agencies,,,,,,," 1,120,037 "
Total Expenditures for 2010-2011 2,,,,,,,"$2,833,244,793 "
,,,,,,,
Part B - Pupil Memberships,,,,,,,
Average daily membership in attendance 3," 89,120.24 ",," 35,732.38 ",," 56,940.01 ",," 181,792.63 "
,,,,,,,
Part C - Cost Per Pupil   ,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$13,120.20 ",,"$12,114.55 ",,"$12,649.66 ",,"$12,775.15 "
,,,,,,,
Tuition (less interdistrict transfers),230.23 ,,285.89 ,,"1,839.34 ",,745.16 
Transportation,596.24 ,,568.12 ,,674.90 ,,615.35 
Elem and Secondary Current Expenses,"$13,946.67 ",,"$12,968.56 ",,"$15,163.90 ",,"$14,135.66 "
,,,,,,,
Capital Items (other than facilities reported below) ,,,,,,,$172.41 
Bonds & Notes Interest,,,,,,,246.43 
Total Recurring Expenditures,,,,,,,"$14,554.50 "
Facility Construction & Acquisition,,,,,,,955.79 
Total Expenditures for Elementary and Secondary Education,,,,,,,"$15,510.29 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,$24.18 ,,$23.38 ,,$23.41 ,,$23.78 
Non-public Programs,,,,,,,2.41 
Adult Education,,,,,,,33.80 
Community/Jr. College Ed. Program,,,,,,,2.03 
Community Service,,,,,,,6.55 
Allocation to Charter Schools/Other Agencies,,,,,,,6.16 
Total Expenditures for 2010-2011,,,,,,,"$15,585.02 "
,,,,,,,
This State Average is based on district operated schools only.,,,,,,,
,,,,,,,
"1  Inter-district tuition payments have been deducted.  Inter-district transportation payments of $207,560 can not be",,,,,,,
    attributed to a grade level and have not been deducted.,,,,,,,
"2  Does not include Bond Principal repayment of: $101,283,387. Bond Principal repayments are not included because expenditures",,,,,,,
    financed by bonds and notes have already been reported as expenditures in the current or a previous year.,,,,,,,
3  High school average daily membership (ADM) does not include ADM of 110.54 for students attending vocational programs,,,,,,,
    out-of-state.  ,,,,,,,
,,,,,,,
,,,,,,,
JDF:rml    10   (5.10)    ,,,,,,,
State Avg Cost 2010-2011.xls,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
