,,,,,"November 28, 2012",,
,,,,,,,ADMA as of 11-26-12
                                                   NEW HAMPSHIRE DEPARTMENT OF EDUCATION                       ,,,,,,,
"Division of Program Support, Bureau of Data Management",,,,,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,,,,,
Telephone (603) 271-2778  Fax (603) 271-3875,,,,,,,
,,,,,,,
STATE AVERAGE COST PER PUPIL AND TOTAL EXPENDITURES 2011-2012,,,,,,,
,,,,,,,
,Elementary,,Middle,,High,,Total
Part A - Expenditures,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$1,184,449,308 ",,"$438,862,209 ",,"$727,472,185 ",,"$2,350,783,702 "
Tuition (less interdistrict transfers),"18,961,141 ",,"11,922,426 ",,"102,343,486 ",,"133,227,053 "
Transportation,"53,737,268 ",,"21,744,003 ",,"37,760,092 ",,"113,241,363 "
Elem and Secondary Current Expenses 1,"$1,257,147,717 ",,"$472,528,638 ",,"$867,575,763 ",,"$2,597,252,118 "
,,,,,,,
Capital Items (other than facilities reported below),,,,,,,"33,349,974 "
Bonds & Notes Interest,,,,,,,"45,468,957 "
Total Recurring Elementary and Secondary Expenditures,,,,,,,"$2,676,071,049 "
Facility Construction & Acquisition,,,,,,,"125,685,550 "
Total Expenditures for Elementary and Secondary Education,,,,,,,"$2,801,756,599 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,"$2,683,058 ",,"$741,681 ",,"$1,436,381 ",,"$4,861,120 "
Non-public Programs,,,,,,," 240,022 "
Adult Education,,,,,,," 6,049,907 "
Community/Jr. College Ed. Program,,,,,,,"638,209 "
Community Service,,,,,,," 587,479 "
Allocation to Charter Schools/Other Agencies,,,,,,," 1,004,549 "
Total Expenditures for 2011-2012 2,,,,,,,"$2,815,137,885 "
,,,,,,,
Part B - Pupil Memberships,,,,,,,
Average daily membership in attendance 3," 88,301.47 ",," 34,815.15 ",," 55,525.94 ",," 178,642.56 "
,,,,,,,
Part C - Cost Per Pupil   ,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$13,413.70 ",,"$12,605.50 ",,"$13,101.48 ",,"$13,159.15 "
,,,,,,,
Tuition (less interdistrict transfers),214.73 ,,342.45 ,,"1,843.17 ",,745.77 
Transportation,608.57 ,,624.56 ,,680.04 ,,633.90 
Elem and Secondary Current Expenses,"$14,237.00 ",,"$13,572.51 ",,"$15,624.69 ",,"$14,538.82 "
,,,,,,,
Capital Items (other than facilities reported below) ,,,,,,,$186.69 
Bonds & Notes Interest,,,,,,,254.52 
Total Recurring Expenditures,,,,,,,"$14,980.03 "
Facility Construction & Acquisition,,,,,,,703.56 
Total Expenditures for Elementary and Secondary Education,,,,,,,"$15,683.59 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,$30.39 ,,$21.30 ,,$25.87 ,,$27.21 
Non-public Programs,,,,,,,1.34 
Adult Education,,,,,,,33.87 
Community/Jr. College Ed. Program,,,,,,,3.57 
Community Service,,,,,,,3.29 
Allocation to Charter Schools/Other Agencies,,,,,,,5.62 
Total Expenditures for 2011-2012,,,,,,,"$15,758.49 "
,,,,,,,
This State Average is based on district operated schools only.,,,,,,,
,,,,,,,
"1  Inter-district tuition payments have been deducted.  Inter-district transportation payments of $199,739 can not be",,,,,,,
    attributed to a grade level and have not been deducted.,,,,,,,
"2  Does not include Bond Principal repayment of: $105,255,247. Bond Principal repayments are not included because expenditures",,,,,,,
    financed by bonds and notes have already been reported as expenditures in the current or a previous year.,,,,,,,
3  High school average daily membership (ADM) does not include ADM of 129.17 for students attending vocational programs,,,,,,,
    out-of-state.  ,,,,,,,
,,,,,,,
,,,,,,,
JDF:rml    10   (5.10)    ,,,,,,,
State Avg Cost 2011-2012.xls,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
