,,,,,"December 9, 2013",,
,,,,,,,ADMA as of 10-18-13
                                                   NEW HAMPSHIRE DEPARTMENT OF EDUCATION                       ,,,,,,,
"Division of Program Support, Bureau of Data Management",,,,,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,,,,,
Telephone (603) 271-2778  Fax (603) 271-3875,,,,,,,
,,,,,,,
STATE AVERAGE COST PER PUPIL AND TOTAL EXPENDITURES 2012-2013,,,,,,,
,,,,,,,
,Elementary,,Middle,,High,,Total
Part A - Expenditures,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$1,183,164,225 ",,"$451,419,068 ",,"$731,925,194 ",,"$2,366,508,487 "
Tuition (less interdistrict transfers),"18,819,542 ",,"12,746,305 ",,"99,661,990 ",,"131,227,837 "
Transportation,"55,654,330 ",,"21,833,297 ",,"38,531,544 ",,"116,019,171 "
Elem and Secondary Current Expenses 1,"$1,257,638,097 ",,"$485,998,670 ",,"$870,118,728 ",,"$2,613,755,495 "
,,,,,,,
Capital Items (other than facilities reported below),,,,,,,"33,666,194 "
Bonds & Notes Interest,,,,,,,"43,456,447 "
Total Recurring Elementary and Secondary Expenditures,,,,,,,"$2,690,878,136 "
Facility Construction & Acquisition,,,,,,,"38,369,451 "
Total Expenditures for Elementary and Secondary Education,,,,,,,"$2,729,247,587 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,"$2,403,962 ",,"$735,438 ",,"$1,262,382 ",,"$4,401,782 "
Non-public Programs,,,,,,," 205,439 "
Adult Education,,,,,,," 5,527,507 "
Community/Jr. College Ed. Program,,,,,,,"302,268 "
Community Service,,,,,,," 539,704 "
Allocation to Charter Schools/Other Agencies,,,,,,," 728,886 "
Total Expenditures for 2012-2013 2,,,,,,,"$2,740,953,173 "
,,,,,,,
Part B - Pupil Memberships,,,,,,,
Average daily membership in attendance 3," 86,821.83 ",," 34,746.72 ",," 54,257.35 ",," 175,825.90 "
,,,,,,,
Part C - Cost Per Pupil   ,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$13,627.50 ",,"$12,991.70 ",,"$13,489.88 ",,"$13,459.39 "
,,,,,,,
Tuition (less interdistrict transfers),216.76 ,,366.83 ,,"1,836.84 ",,746.35 
Transportation,641.02 ,,628.36 ,,710.16 ,,659.85 
Elem and Secondary Current Expenses,"$14,485.28 ",,"$13,986.89 ",,"$16,036.88 ",,"$14,865.59 "
,,,,,,,
Capital Items (other than facilities reported below) ,,,,,,,$191.47 
Bonds & Notes Interest,,,,,,,247.16 
Total Recurring Expenditures,,,,,,,"$15,304.22 "
Facility Construction & Acquisition,,,,,,,218.22 
Total Expenditures for Elementary and Secondary Education,,,,,,,"$15,522.44 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,$27.69 ,,$21.17 ,,$23.27 ,,$25.03 
Non-public Programs,,,,,,,1.17 
Adult Education,,,,,,,31.44 
Community/Jr. College Ed. Program,,,,,,,1.72 
Community Service,,,,,,,3.07 
Allocation to Charter Schools/Other Agencies,,,,,,,4.15 
Total Expenditures for 2012-2013,,,,,,,"$15,589.02 "
,,,,,,,
This State Average is based on district operated schools only.,,,,,,,
,,,,,,,
"1  Inter-district tuition payments have been deducted.  Inter-district transportation payments of $328,837 can not be",,,,,,,
    attributed to a grade level and have not been deducted.,,,,,,,
"2  Does not include Bond Principal repayment of: $102,103,349. Bond Principal repayments are not included because expenditures",,,,,,,
    financed by bonds and notes have already been reported as expenditures in the current or a previous year.,,,,,,,
3  High school average daily membership (ADM) does not include ADM of 78.48 for students attending vocational programs,,,,,,,
    out-of-state.  ,,,,,,,
,,,,,,,
,,,,,,,
JDF:rml    10   (5.10)    ,,,,,,,
State Avg Cost 2012-2013.xls,,,,,,,
,,,,,,,
,Note 1:  Exp Adj,,"328,836.61 ",,,,
,Note 2: Bond repayment,,"102,103,349 ",,,,
,Note 3: ADM Adj,,(78.48),,,,
,,,,,,,
,,,,,,,
,,,,,,,
